Species
Aaadonta constricta
Aaadonta fuscozonata
Aaadonta irregularis
Aaadonta kinlochi
Aaadonta pelewana
Aaptosyax grypus
Abrocoma boliviensis
Abronia montecristoi
Acanthaeschna victoria
Acanthinula spinifera
Acanthochelys pallidipectoris
Paracanthocobitis urophthalma
Salmo ohridanus
Acerodon celebensis
Acerodon humilis
Acerodon jubatus
Acerodon leucotis
Acerodon mackloti
Achalinus werneri
Acheilognathus elongatus
Acheilognathus longipinnis
Acicula norrisi
Acicula hausdorfi
Acinonyx jubatus
Acipenser brevirostrum
Acipenser fulvescens
Acipenser naccarii
Acipenser nudiventris
Acipenser ruthenus
Acipenser schrenckii
Acipenser stellatus
Acipenser sturio
Acipenser gueldenstaedtii
Acipenser medirostris
Acipenser transmontanus
Acipenser persicus
Acipenser sinensis
Acipenser mikadoi
Acipenser oxyrinchus ssp. desotoi
Acipenser oxyrinchus ssp. oxyrinchus
Acipenser baerii
Acipenser oxyrinchus
Acipenser gueldenstaedtii Caspian Sea subpopulation
Acipenser nudiventris Black Sea and Sea of Azov subpopulation
Acipenser nudiventris Caspian Sea subpopulation
Acipenser stellatus Caspian Sea subpopulation
Acipenser transmontanus Kootenai River subpopulation
"Acipenser ruthenus Rivers Irtysh, Ob and Yenisei subpopulation"
Acomys cahirinus
Acomys cilicicus
Acomys cineraceus
Acomys ignitus
Acomys kempi
Acomys louisae
Acomys minous
Acomys mullah
Acomys percivali
Acomys russatus
Acomys subspinosus
Acomys wilsoni
Aconaemys fuscus
Aconaemys sagei
Acrantophis dumerili
Acrantophis madagascariensis
Acroloxus coloradensis
Actinella actinophora
Plebecula anaglyptica
Actinella armitageana
Actinella carinofausta
Domunculifex littorinella
Plebecula giramica
Actinella laciniosa
Actinella obserata
Addax nasomaculatus
Adelotus brevis
Adelphicos daryi
Adrianichthys kruyti
Handleyomys fuscatus
Aepeomys lugens
Aepyceros melampus
Aeretes melanopterus
Aeromys tephromelas
Aeromys thomasi
Pinheyschna meruensis
Aeshna viridis
Aethalops alecto
Aethomys silindensis
Aethomys bocagei
Aethomys chrysophilus
Micaelamys granti
Aethomys hindei
Aethomys kaiseri
Micaelamys namaquensis
Aethomys nyikae
Aethomys stannarius
Aethomys thomasi
Afrithelphusa leonensis
Afrithelphusa gerhildae
Afrithelphusa afzelii
Afrithelphusa monodosa
Afrixalus aureus
Afroedura hawequensis
Africanogyrus rodriguezensis
Africanogyrus starmuehlneri
Agonostomus telfairii
Cuniculus paca
Cuniculus taczanowskii
Agriades zullichi
Agrotis crinigera
Agrotis fasciata
Agrotis kerri
Agrotis laysanensis
Agrotis photophila
Agrotis procellaris
Ailuropoda melanoleuca
Ailurus fulgens
Akodon aerosus
Akodon affinis
Akodon albiventer
Akodon azarae
Neomicroxus bogotensis
Akodon boliviensis
Akodon budini
Akodon cursor
Akodon dayi
Akodon fumeus
Abrothrix illutea
Akodon iniscatus
Akodon juninensis
Deltamys kempi
Akodon kofordi
Abrothrix lanosus
Neomicroxus latebricola
Akodon lindberghi
Abrothrix longipilis
Akodon mimus
Akodon molinae
Akodon mollis
Thaptomys nigrita
